City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
121,Waipawa,NZ,2021-07-27 01:33:56,-41.4122,175.5153,49.46,89,100,15.05
122,Teguise,ES,2021-07-27 01:33:56,29.0605,-13.564,68.22,78,75,16.11
123,Simao,CN,2021-07-27 01:33:56,22.7886,100.9748,69.58,93,73,2.37
124,Carnarvon,AU,2021-07-27 01:33:57,-24.8667,113.6333,69.87,64,40,13.8
125,Sassandra,CI,2021-07-27 01:33:57,4.95,-6.0833,74.98,83,100,7.4
126,Merauke,ID,2021-07-27 01:33:57,-8.4667,140.3333,80.4,73,100,11.36
127,Aklavik,CA,2021-07-27 01:33:58,68.2191,-135.0107,61.63,85,100,3.18
128,Katsuura,JP,2021-07-27 01:33:58,35.1333,140.3,77.02,91,100,19.04
129,Tura,IN,2021-07-27 01:33:32,25.5198,90.2201,79.88,90,100,4.47
130,Maniitsoq,GL,2021-07-27 01:33:58,65.4167,-52.9,51.94,78,100,15.23
131,Georgetown,MY,2021-07-27 01:30:16,5.4112,100.3354,85.93,79,20,4.61
132,Cocal,BR,2021-07-27 01:33:58,-28.6167,-49.35,64.17,92,100,2.21
133,Paamiut,GL,2021-07-27 01:33:59,61.994,-49.6678,43.9,96,100,11.3
134,San Patricio,US,2021-07-27 01:33:59,28.017,-97.5169,86.41,64,4,9.31
135,Avera,US,2021-07-27 01:33:59,33.194,-82.5271,82.74,64,42,6.85
136,Riyadh,SA,2021-07-27 01:31:44,24.6877,46.7219,93.34,24,100,10.29
137,Beringovskiy,RU,2021-07-27 01:34:00,63.05,179.3167,52.27,90,100,9.84
138,Gornopravdinsk,RU,2021-07-27 01:34:00,60.05,69.9,59.23,64,58,6.58
139,Colares,PT,2021-07-27 01:34:00,38.7992,-9.4469,67.28,74,2,11.99
140,Olyka,UA,2021-07-27 01:34:01,50.7186,25.8125,61.7,90,29,10.11
141,Ancud,CL,2021-07-27 01:34:01,-41.8697,-73.8203,42.33,79,26,5.73
142,Clonakilty,IE,2021-07-27 01:34:01,51.6231,-8.8706,58.21,82,91,13.13
143,Rumford,US,2021-07-27 01:34:02,44.5537,-70.5509,71.2,79,6,3.29
144,Provideniya,RU,2021-07-27 01:34:02,64.3833,-173.3,50.11,81,90,11.18
145,Muroto,JP,2021-07-27 01:34:02,33.2833,134.15,91.44,69,16,3.18
146,Meadow Lake,US,2021-07-27 01:34:02,34.8014,-106.5436,84.31,41,40,3.83
147,Marsh Harbour,BS,2021-07-27 01:34:03,26.5412,-77.0636,82.98,76,5,10.54
148,Englehart,CA,2021-07-27 01:34:03,47.8169,-79.8664,66.76,77,20,0.0
149,Oranjemund,NA,2021-07-27 01:34:03,-28.55,16.4333,57.78,66,0,4.76
150,Kodiak,US,2021-07-27 01:34:04,57.79,-152.4072,62.11,59,90,5.75
151,Cuamba,MZ,2021-07-27 01:34:04,-14.8031,36.5372,53.08,92,4,6.11
