City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
120,Urucui,BR,75.07,few clouds,-7.23,-44.56,Hotel Premium Piauí
136,Lynn Haven,US,78.98,broken clouds,30.25,-85.65,Wingate by Wyndham Panama City Area Lynn Haven
141,Macon,US,79.54,clear sky,39.87,-88.97,Baymont by Wyndham Decatur
142,Marrakesh,MA,77.07,clear sky,31.63,-8.01,Novotel Marrakech Hivernage
148,Atuona,PF,77.83,clear sky,-9.8,-139.03,Villa Enata
150,Sinnamary,GF,77.49,clear sky,5.38,-52.95,ALETHEIA Appartement Sinnamary
151,Makakilo City,US,82.72,clear sky,21.35,-158.09,Marriott's Ko Olina Beach Club
153,Sola,VU,78.91,scattered clouds,-13.88,167.55,Ulkel Guest House
160,Chumikan,RU,78.4,broken clouds,54.72,135.31,Fortuna
164,Hannibal,US,81.46,mist,39.71,-91.36,Country Hearth Inn Hannibal
168,Coahuayana,MX,78.55,overcast clouds,18.73,-103.68,El rranchito michuacan de ocampos
170,Tandalti,SD,76.89,broken clouds,13.02,31.87,منزل : الهادي محمد مساعد
171,Natal,BR,75.42,broken clouds,-5.79,-35.21,Hotel Natal
178,Komsomolskiy,UZ,83.12,clear sky,40.43,71.72,Ikathouse
179,Kieta,PG,84.24,light rain,-6.22,155.63,Uruna Bay Retreat
188,Brigantine,US,80.02,clear sky,39.41,-74.36,Legacy Vacation Resorts Brigantine Beach
195,Corrales,US,76.24,broken clouds,35.24,-106.61,Hilton Garden Inn Albuquerque North/Rio Rancho
197,West Bay,KY,77.07,overcast clouds,19.37,-81.42,Calypso Cove
199,Marsa Matruh,EG,79.0,clear sky,31.35,27.25,Beau Site
200,Lumberton,US,80.87,few clouds,34.62,-79.01,"Country Inn & Suites by Radisson, Lumberton, NC"
201,Lorengau,PG,84.58,clear sky,-2.02,147.27,Lorengau Harbourside Hotel
208,Mahibadhoo,MV,82.53,moderate rain,3.78,72.97,Omadhoo Inn
211,Sawtell,AU,75.18,clear sky,-30.38,153.1,Island Beach House Sawtell
217,Tual,ID,80.8,overcast clouds,-5.67,132.75,Grand Vilia Hotel
218,Hailar,CN,75.07,broken clouds,49.2,119.7,Holiday Inn & Suites Hulunbuir
221,Syosset,US,78.46,clear sky,40.83,-73.5,The Inn at Fox Hollow
225,Kudahuvadhoo,MV,81.09,moderate rain,2.67,72.89,Kudahuvadhoo Retreat
226,Campbell River,CA,83.73,few clouds,50.02,-125.24,Ramada by Wyndham Campbell River
227,Luganville,VU,78.85,broken clouds,-15.53,167.17,The Espiritu Hotel
228,Bethel,US,76.12,light rain,41.37,-73.41,Courtyard by Marriott Danbury
232,New Haven,US,77.02,broken clouds,41.4,-72.93,Clarion Hotel & Suites Hamden-New Haven
235,Pagudpud,PH,84.16,heavy intensity rain,18.56,120.79,Saud Beach Resort and Hotel - 2
